id;name;officialName;description
0;Зелёный бор;Зелёный бор;конечная
1;Тубдиспансер;Тубдиспансер;конечная
2;НИИ Онкологии;НИИ Онкологии;конечная
3;Областная больница;Областная больница;в сторону Минска
4;Карбышева дс;Карбышева дс;конечная
5;Карбышева ул.(из города);Карбышева ул.;В сторону Боровлян, Логойска
6;пов.на Малиновку(в Боровл.);пов.на Малиновку;в сторну Боровлян, возле Очага.
7;пов.на Малиновку(в Минск);пов.на Малиновку;в сторну Минска, возле Очага.
8;Уручье-4;Уручье-4;конечная, возле стройрынка
9;Московский ав;Московский ав;Автовокзал, конечная
10;Дружная дс;Дружная дс;конечная, ЖД вокзал
11;Филимонова ул.(библ);Филимонова ул.;со стороны библиотеки
12;Филимонова ул.(!библ);Филимонова ул.;со стороны противоположной библиотеке
13;Уручье 6(к XX);Уручье 6;В сторону бизнес центра 'XX век'
14;Уручье 6(к Шаф.);Уручье 6;В сторону Шафарнянской, в центр
15;ст.м.Московская(на Уручье);ст.м.Московская;в сторону Уручья
16;п.Лесной(в Минск);п.Лесной;не возле Явара
17;п.Лесной(Явар);п.Лесной;возле магазина Явар
